id,case_number,date,block,iucr,primary_type,description,location_description,arrest,domestic,beat,district,ward,community_area,fbi_code,x_coordinate,y_coordinate,year,updated_on,Lat,Lon,location,geometry,index_right,pri_neigh,sec_neigh,shape_area,shape_len
11185853,JA560256,2017-12-23T02:20:00.000,052XX S LOOMIS BLVD,326,ROBBERY,AGGRAVATED VEHICULAR HIJACKING,STREET,False,False,934,9,16,61,3,1167883.0,1870105.0,2017,2018-05-04T15:51:04.000,41.799108546,-87.659862782,"
,  
(41.799108546, -87.659862782)",POINT (-87.659862782 41.799108546),18.0,New City,BACK OF THE YARDS,134636963.254,48133.595961
11869399,JC480192,2019-10-20T21:30:00.000,0000X N MAYFIELD AVE,325,ROBBERY,VEHICULAR HIJACKING,STREET,False,False,1513,15,29,25,3,1137158.0,1899812.0,2019,2019-10-27T15:51:46.000,41.881234421,-87.771828181,"
,  
(41.881234421, -87.771828181)",POINT (-87.771828181 41.881234421),94.0,Austin,AUSTIN,170037750.826,55473.345911
11185895,JA560008,2017-12-22T21:28:00.000,024XX W GRENSHAW ST,326,ROBBERY,AGGRAVATED VEHICULAR HIJACKING,STREET,True,False,1135,11,28,28,3,1160196.0,1894973.0,2017,2018-05-04T15:51:04.000,41.867510973,-87.687367154,"
,  
(41.867510973, -87.687367154)",POINT (-87.687367154 41.867510973),46.0,"Little Italy, UIC","LITTLE ITALY, UIC",71376244.1225,36568.464289
11185915,JA560038,2017-12-22T21:59:00.000,006XX N RUSH ST,326,ROBBERY,AGGRAVATED VEHICULAR HIJACKING,STREET,False,False,1834,18,42,8,3,1176986.0,1904728.0,2017,2018-05-04T15:51:04.000,41.893916003,-87.625433483,"
,  
(41.893916003, -87.625433483)",POINT (-87.625433483 41.893916003),58.0,Streeterville,STREETERVILLE,17894338.8151,40084.161471
11186056,JA560439,2017-12-23T09:20:00.000,050XX S DREXEL BLVD,326,ROBBERY,AGGRAVATED VEHICULAR HIJACKING,STREET,False,False,222,2,4,39,3,1183167.0,1871770.0,2017,2018-05-04T15:51:04.000,41.803335167,-87.603761388,"
,  
(41.803335167, -87.603761388)",POINT (-87.603761388 41.803335167),47.0,Kenwood,"KENWOOD,OAKLAND",29071741.9283,23325.167906
11186240,JA559961,2017-12-22T20:30:00.000,056XX S BLACKSTONE AVE,326,ROBBERY,AGGRAVATED VEHICULAR HIJACKING,VEHICLE NON-COMMERCIAL,False,False,235,2,5,41,3,1186878.0,1867830.0,2017,2018-05-04T15:51:04.000,41.792436271,-87.590276478,"
,  
(41.792436271, -87.590276478)",POINT (-87.590276478 41.792436271),74.0,Hyde Park,HYDE PARK,38859161.8437,28013.027919
11186377,JA561038,2017-12-23T17:45:00.000,003XX N AUSTIN BLVD,325,ROBBERY,VEHICULAR HIJACKING,PARKING LOT/GARAGE(NON.RESID.),False,False,1512,15,29,25,3,1136324.0,1901556.0,2017,2018-05-04T15:51:04.000,41.886035122,-87.774848959,"
,  
(41.886035122, -87.774848959)",POINT (-87.774848959 41.886035122),,,,,
11186595,JA561308,2017-12-23T22:36:00.000,076XX S SOUTH CHICAGO AVE,326,ROBBERY,AGGRAVATED VEHICULAR HIJACKING,GAS STATION,False,False,411,4,5,43,3,1186365.0,1854740.0,2017,2018-05-04T15:51:04.000,41.75652833,-87.592570988,"
,  
(41.75652833, -87.592570988)",POINT (-87.592570988 41.75652833),9.0,Avalon Park,"AVALON PARK,CALUMET HEIGHTS",34852737.7366,27630.822534
11871063,JC476834,2019-10-18T01:15:00.000,003XX N ST LOUIS AVE,326,ROBBERY,AGGRAVATED VEHICULAR HIJACKING,STREET,False,True,1123,11,28,27,3,1152986.0,1902255.0,2019,2019-10-27T15:49:01.000,41.887639384,-87.713643321,"
,  
(41.887639384, -87.713643321)",POINT (-87.713643321 41.887639384),5.0,Garfield Park,GARFIELD PARK,89976069.5947,44460.91922
11186826,JA561562,2017-12-24T07:30:00.000,117XX S THROOP ST,326,ROBBERY,AGGRAVATED VEHICULAR HIJACKING,RESIDENCE,False,False,524,5,34,53,3,1169772.0,1827017.0,2017,2018-05-04T15:51:04.000,41.680828242,-87.65418239,"
,  
(41.680828242, -87.65418239)",POINT (-87.65418239 41.680828242),16.0,West Pullman,WEST PULLMAN,99365198.0822,50023.843001
11187193,JA562245,2017-12-24T18:30:00.000,025XX W 61ST ST,326,ROBBERY,AGGRAVATED VEHICULAR HIJACKING,STREET,False,False,825,8,15,66,3,1160500.0,1864126.0,2017,2018-05-04T15:51:04.000,41.782856913,-87.687102914,"
,  
(41.782856913, -87.687102914)",POINT (-87.687102914 41.782856913),69.0,Chicago Lawn,"MARQUETTE PARK,GAGE PARK",98279465.1151,40073.099838
11187442,JA562460,2017-12-25T10:50:00.000,091XX S STATE ST,326,ROBBERY,AGGRAVATED VEHICULAR HIJACKING,STREET,False,False,634,6,21,49,3,1177895.0,1844486.0,2017,2018-05-04T15:51:04.000,41.728586054,-87.623921444,"
,  
(41.728586054, -87.623921444)",POINT (-87.623921444 41.728586054),62.0,Roseland,"WASHINGTON HEIGHTS,ROSELAND",134313706.73,56632.795429
11187455,JA562540,2017-12-25T12:47:00.000,007XX N LARRABEE ST,325,ROBBERY,VEHICULAR HIJACKING,STREET,True,False,1831,18,42,8,3,1172199.0,1905434.0,2017,2018-05-04T15:51:04.000,41.895960342,-87.64299354,"
,  
(41.895960342, -87.64299354)",POINT (-87.64299354 41.895960342),97.0,River North,RIVER NORTH,38766442.5194,31506.03781
11187747,JA563004,2017-12-26T04:30:00.000,0000X W WALTON ST,326,ROBBERY,AGGRAVATED VEHICULAR HIJACKING,STREET,True,False,1832,18,42,8,3,1176083.0,1906913.0,2017,2018-05-04T15:51:04.000,41.899932148,-87.62868396,"
,  
(41.899932148, -87.62868396)",POINT (-87.62868396 41.899932148),45.0,Rush & Division,RUSH & DIVISION,3489575.8016,8503.033133
11187900,JA563220,2017-12-26T10:45:00.000,068XX S DR MARTIN LUTHER KING JR DR,325,ROBBERY,VEHICULAR HIJACKING,STREET,False,False,322,3,20,69,3,1180101.0,1859662.0,2017,2018-05-04T15:51:04.000,41.770180534,-87.615376564,"
,  
(41.770180534, -87.615376564)",POINT (-87.615376564 41.770180534),20.0,Grand Crossing,"SOUTH SHORE, GRAND CROSSING",98853167.7093,54645.3303
11188345,JA563807,2017-12-26T17:45:00.000,034XX W GRENSHAW ST,325,ROBBERY,VEHICULAR HIJACKING,STREET,False,False,1133,11,24,29,3,1153541.0,1894844.0,2017,2018-05-04T15:51:04.000,41.867291804,-87.711802261,"
,  
(41.867291804, -87.711802261)",POINT (-87.711802261 41.867291804),6.0,North Lawndale,NORTH LAWNDALE,89487422.0244,44959.459663
11188359,JA563647,2017-12-26T17:00:00.000,125XX S STATE ST,326,ROBBERY,AGGRAVATED VEHICULAR HIJACKING,STREET,False,False,532,5,9,53,3,1178566.0,1821303.0,2017,2018-05-04T15:51:04.000,41.664953416,-87.622164648,"
,  
(41.664953416, -87.622164648)",POINT (-87.622164648 41.664953416),16.0,West Pullman,WEST PULLMAN,99365198.0822,50023.843001
11188530,JA564055,2017-12-27T01:00:00.000,009XX W 86TH ST,325,ROBBERY,VEHICULAR HIJACKING,STREET,False,False,613,6,21,71,3,1171394.0,1847804.0,2017,2018-05-04T15:51:04.000,41.737835668,-87.647639133,"
,  
(41.737835668, -87.647639133)",POINT (-87.647639133 41.737835668),70.0,Auburn Gresham,AUBURN GRESHAM,105065353.602,46757.721716
11188881,JA564466,2017-12-27T12:28:00.000,037XX W ARTHINGTON ST,326,ROBBERY,AGGRAVATED VEHICULAR HIJACKING,STREET,False,False,1133,11,24,27,3,1151745.0,1895783.0,2017,2018-05-04T15:51:04.000,41.869904019,-87.71837099,"
,  
(41.869904019, -87.71837099)",POINT (-87.71837099 41.869904019),5.0,Garfield Park,GARFIELD PARK,89976069.5947,44460.91922
