id,case_number,date,block,iucr,primary_type,description,location_description,arrest,domestic,beat,district,ward,community_area,fbi_code,x_coordinate,y_coordinate,year,updated_on,lat,lon,location
"11666100","JC237396","2019-04-25T04:20:00.000","012XX S ST LOUIS AVE","0326","ROBBERY","AGGRAVATED VEHICULAR HIJACKING","STREET","false","false","1021","010","24","29","03","1153238","1893965","2019","2019-05-15T16:13:51.000","41.864885744","-87.712937946","
,  
(41.864885744, -87.712937946)"
"11677995","JC251973","2019-05-06T11:08:00.000","012XX S KOLIN AVE","0325","ROBBERY","VEHICULAR HIJACKING","APARTMENT","false","true","1011","010","24","29","03","1147577","1894101","2019","2019-05-13T16:13:25.000","41.865369326","-87.733716227","
,  
(41.865369326, -87.733716227)"
"11667191","JC238694","2019-04-26T03:15:00.000","0000X W IDA B WELLS DR","0326","ROBBERY","AGGRAVATED VEHICULAR HIJACKING","STREET","false","false","0111","001","4","32","03",,,"2019","2019-05-03T16:14:46.000",,,
"9976410","HY165347","2015-02-27T07:30:00.000","103XX S LOWE AVE","0325","ROBBERY","VEHICULAR HIJACKING","STREET","false","false","2232","022","34","49","03","1173796","1836380","2015","2018-02-10T15:50:01.000","41.706433763","-87.63917633","
,  
(41.706433763, -87.63917633)"
"9977414","HY166602","2015-02-28T01:10:00.000","015XX N MASSASOIT AVE","0326","ROBBERY","AGGRAVATED VEHICULAR HIJACKING","STREET","false","true","2531","025","29","25","03","1137728","1909559","2015","2018-02-10T15:50:01.000","41.907971162","-87.769499937","
,  
(41.907971162, -87.769499937)"
"9978337","HY167700","2015-03-01T01:30:00.000","069XX S TALMAN AVE","0326","ROBBERY","AGGRAVATED VEHICULAR HIJACKING","STREET","false","false","0831","008","18","66","03","1159903","1858628","2015","2018-02-10T15:50:01.000","41.76778191","-87.689442638","
,  
(41.76778191, -87.689442638)"
"9979699","HY169901","2015-03-03T00:05:00.000","039XX W VAN BUREN ST","0326","ROBBERY","AGGRAVATED VEHICULAR HIJACKING","STREET","false","false","1132","011","24","26","03","1150218","1897735","2015","2018-02-10T15:50:01.000","41.875290412","-87.723926225","
,  
(41.875290412, -87.723926225)"
"9981152","HY171107","2015-03-04T00:40:00.000","026XX W 53RD ST","0326","ROBBERY","AGGRAVATED VEHICULAR HIJACKING","STREET","true","false","0923","009","14","63","03","1159687","1869423","2015","2018-02-10T15:50:01.000","41.797409328","-87.689938307","
,  
(41.797409328, -87.689938307)"
"9982870","HY172402","2015-03-05T08:10:00.000","085XX S DANTE AVE","0326","ROBBERY","AGGRAVATED VEHICULAR HIJACKING","STREET","false","false","0412","004","8","45","03","1187360","1848549","2015","2018-02-10T15:50:01.000","41.739516057","-87.589120794","
,  
(41.739516057, -87.589120794)"
"9984634","HY173751","2015-03-06T11:09:00.000","025XX W FLOURNOY ST","0325","ROBBERY","VEHICULAR HIJACKING","STREET","true","false","1135","011","2","28","03","1159663","1896951","2015","2016-04-13T15:55:28.000","41.872949786","-87.689269401","
,  
(41.872949786, -87.689269401)"
"9985722","HY175524","2015-03-07T17:58:00.000","040XX W ROOSEVELT RD","0326","ROBBERY","AGGRAVATED VEHICULAR HIJACKING","PARKING LOT/GARAGE(NON.RESID.)","true","false","1132","011","24","29","03","1149452","1894398","2015","2018-02-10T15:50:01.000","41.866148185","-87.726825268","
,  
(41.866148185, -87.726825268)"
"9985898","HY175772","2015-03-07T21:57:00.000","041XX W CRYSTAL ST","0325","ROBBERY","VEHICULAR HIJACKING","STREET","true","false","2534","025","37","23","03","1148592","1908015","2015","2018-02-10T15:50:01.000","41.903531375","-87.729630756","
,  
(41.903531375, -87.729630756)"
"9985979","HY175841","2015-03-07T21:30:00.000","025XX W CONGRESS PKWY","0325","ROBBERY","VEHICULAR HIJACKING","STREET","false","false","1135","011","2","28","03","1159622","1897685","2015","2018-02-10T15:50:01.000","41.874964796","-87.689399714","
,  
(41.874964796, -87.689399714)"
"9986596","HY176738","2015-03-08T17:00:00.000","012XX N KILDARE AVE","0325","ROBBERY","VEHICULAR HIJACKING","STREET","false","false","2534","025","37","23","03","1147489","1907759","2015","2018-02-10T15:50:01.000","41.902850113","-87.733688933","
,  
(41.902850113, -87.733688933)"
"9986728","HY176922","2015-03-08T23:45:00.000","008XX W 59TH ST","0325","ROBBERY","VEHICULAR HIJACKING","GAS STATION","true","false","0712","007","16","68","03","1171833","1865730","2015","2015-08-17T15:03:40.000","41.78701723","-87.645505595","
,  
(41.78701723, -87.645505595)"
"9990561","HY180643","2015-03-11T18:50:00.000","002XX W 87TH ST","0325","ROBBERY","VEHICULAR HIJACKING","PARKING LOT/GARAGE(NON.RESID.)","false","false","0634","006","21","44","03","1176467","1847230","2015","2018-02-10T15:50:01.000","41.736148121","-87.629070243","
,  
(41.736148121, -87.629070243)"
