id,case_number,date,block,iucr,primary_type,description,location_description,arrest,domestic,beat,district,ward,community_area,fbi_code,x_coordinate,y_coordinate,year,updated_on,Lat,Lon,location,geometry,index_right,pri_neigh,sec_neigh,shape_area,shape_len
12277062,JE121558,2021-01-23 22:45:00,044XX S COTTAGE GROVE AVE,326,ROBBERY,AGGRAVATED VEHICULAR HIJACKING,PARKING LOT / GARAGE (NON RESIDENTIAL),False,False,221,2,4,38,3,1182340.0,1875731.0,2021,2021-01-30T15:51:02.000,41.814223686,-87.60667153,"
,  
(41.814223686, -87.60667153)",POINT (-87.60667153 41.814223686),0.0,Grand Boulevard,BRONZEVILLE,48492503.1554,28196.837157
12276990,JE121319,2021-01-23 16:48:00,100XX S ABERDEEN ST,326,ROBBERY,AGGRAVATED VEHICULAR HIJACKING,STREET,False,False,2232,22,34,73,3,1170759.0,1838145.0,2021,2021-01-30T15:51:02.000,41.711343833,-87.650246418,"
,  
(41.711343833, -87.650246418)",POINT (-87.650246418 41.711343833),72.0,Washington Heights,"WASHINGTON HEIGHTS,ROSELAND",79635752.8769,42222.598163
12280767,JE126065,2021-01-10 19:47:00,017XX N MONITOR AVE,325,ROBBERY,VEHICULAR HIJACKING,STREET,False,False,2531,25,29,25,3,1137162.0,1910928.0,2021,2021-01-30T15:48:31.000,41.911738052,-87.771546221,"
,  
(41.911738052, -87.771546221)",POINT (-87.771546221 41.911738052),94.0,Austin,AUSTIN,170037750.826,55473.345911
12276800,JE121266,2021-01-23 15:33:00,0000X S OAKLEY BLVD,325,ROBBERY,VEHICULAR HIJACKING,STREET,False,False,1223,12,27,28,3,1161090.0,1899800.0,2021,2021-01-30T15:51:02.000,41.880738199,-87.683951067,"
,  
(41.880738199, -87.683951067)",POINT (-87.683951067 41.880738199),2.0,United Center,UNITED CENTER,32520512.7053,23101.363745
12276953,JE121412,2021-01-23 18:37:00,001XX W KINZIE ST,326,ROBBERY,AGGRAVATED VEHICULAR HIJACKING,STREET,False,False,1831,18,42,8,3,1175251.0,1902995.0,2021,2021-01-30T15:51:02.000,41.889199661,-87.631857533,"
,  
(41.889199661, -87.631857533)",POINT (-87.631857533 41.889199661),97.0,River North,RIVER NORTH,38766442.5194,31506.03781
12277529,JE122043,2021-01-24 14:15:00,075XX S ESSEX AVE,326,ROBBERY,AGGRAVATED VEHICULAR HIJACKING,"VEHICLE - OTHER RIDE SHARE SERVICE (LYFT, UBER, ETC.)",False,False,421,4,7,43,3,1194175.0,1855369.0,2021,2021-01-31T15:48:03.000,41.758066253,-87.563928742,"
,  
(41.758066253, -87.563928742)",POINT (-87.563928742 41.758066253),59.0,South Shore,"SOUTH SHORE, GRAND CROSSING",81812716.3904,44249.645178
12278363,JE123076,2021-01-25 01:00:00,045XX W CHICAGO AVE,326,ROBBERY,AGGRAVATED VEHICULAR HIJACKING,STREET,False,False,1111,11,37,23,3,1146075.0,1904936.0,2021,2021-02-01T15:48:35.000,41.895130499,-87.73895471,"
,  
(41.895130499, -87.73895471)",POINT (-87.73895471 41.895130499),4.0,Humboldt Park,HUMBOLDT PARK,125010425.593,46126.751351
12278603,JE123346,2021-01-25 22:00:00,048XX W ROSEMONT AVE,325,ROBBERY,VEHICULAR HIJACKING,STREET,False,False,1621,16,39,12,3,1143187.0,1941536.0,2021,2021-02-01T15:48:35.000,41.995618661,-87.748644767,"
,  
(41.995618661, -87.748644767)",POINT (-87.748644767 41.995618661),50.0,"Sauganash,Forest Glen","SAUGANASH,FOREST GLEN",89130893.6364,74493.821604
12278514,JE123247,2021-01-25 19:20:00,0000X E CERMAK RD,326,ROBBERY,AGGRAVATED VEHICULAR HIJACKING,STREET,False,False,131,1,3,33,3,1177368.0,1889770.0,2021,2021-02-19T15:45:56.000,41.852861719,-87.624484216,"
,  
(41.852861719, -87.624484216)",POINT (-87.624484216 41.852861719),67.0,Near South Side,NEAR SOUTH SIDE,34252582.7003,26884.589204
12283731,JE129666,2021-02-01 19:50:00,009XX W GRANVILLE AVE,326,ROBBERY,AGGRAVATED VEHICULAR HIJACKING,STREET,False,False,2433,24,48,77,3,1168597.0,1941349.0,2021,2021-02-09T15:44:55.000,41.994591387,-87.655179216,"
,  
(41.994591387, -87.655179216)",POINT (-87.655179216 41.994591387),33.0,Edgewater,EDGEWATER,38865397.6718,31012.83416
12283859,JE129865,2021-02-02 02:00:00,030XX W VAN BUREN ST,326,ROBBERY,AGGRAVATED VEHICULAR HIJACKING,STREET,False,False,1124,11,28,27,3,1156019.0,1898003.0,2021,2021-02-09T15:47:29.000,41.875910833,-87.702619904,"
,  
(41.875910833, -87.702619904)",POINT (-87.702619904 41.875910833),5.0,Garfield Park,GARFIELD PARK,89976069.5947,44460.91922
12261350,JE103278,2021-01-04 17:00:00,019XX S TROY ST,326,ROBBERY,AGGRAVATED VEHICULAR HIJACKING,STREET,False,False,1022,10,24,29,3,1155665.0,1890318.0,2021,2021-02-03T15:55:29.000,41.854829502,-87.704126479,"
,  
(41.854829502, -87.704126479)",POINT (-87.704126479 41.854829502),6.0,North Lawndale,NORTH LAWNDALE,89487422.0244,44959.459663
12279254,JE124155,2021-01-26 20:30:00,015XX W GRANVILLE AVE,326,ROBBERY,AGGRAVATED VEHICULAR HIJACKING,STREET,False,False,2433,24,48,77,3,1165010.0,1941273.0,2021,2021-02-02T15:48:32.000,41.994460032,-87.668375955,"
,  
(41.994460032, -87.668375955)",POINT (-87.668375955 41.994460032),33.0,Edgewater,EDGEWATER,38865397.6718,31012.83416
